rowid,variable,value,x,y
mmgt1,s4d.mecpM1,-0.14847551095841255,16,591
flj13639,s4d.mecpM1,0.08158964870475102,16,1551
homer3b,s4d.mecpM1,0.4703813855220086,16,45
cdc25b,s4d.mecpM1,-0.679223654753888,16,2238
rapgef6,s4d.mecpM1,0.2591278367677913,16,383
kif11,s4d.mecpM1,-0.49891179397195057,16,2016
slc17a9b,s4d.mecpM1,0.7979021049113824,16,1036
ccna2,s4d.mecpM1,-0.49642970741646286,16,1496
pptc7a,s4d.mecpM1,0.3373184238473667,16,234
cahz,s4d.mecpM1,0.04207607338362261,16,1504
dnajc11a,s4d.mecpM1,-0.09321645173757796,16,679
otx2b,s4d.mecpM1,0.7675160176824254,16,2219
esrp1,s4d.mecpM1,-0.9647416962503115,16,2245
mknk2a,s4d.mecpM1,-0.7973154484348831,16,1687
sigmar1,s4d.mecpM1,0.1972615570106857,16,395
afg1la,s4d.mecpM1,0.6917768528216738,16,815
sirt2,s4d.mecpM1,0.0315116748404704,16,164
upb1,s4d.mecpM1,0.46585569913838104,16,2331
sema6dl,s4d.mecpM1,0.1019047621862213,16,2052
epha4b,s4d.mecpM1,-0.03995331291503659,16,2181
FOXK2,s4d.mecpM1,-1.0471335701440767,16,1684
snrpd1,s4d.mecpM1,0.364726851264587,16,574
ctsll,s4d.mecpM1,-0.9829175733661598,16,1682
pcnx1,s4d.mecpM1,-0.03128581403530922,16,435
foxn1,s4d.mecpM1,-0.48834043167215085,16,2169
pdca,s4d.mecpM1,-0.0941869452059208,16,1711
plp1b,s4d.mecpM1,-0.2128994773021434,16,2302
prkcbp1l,s4d.mecpM1,-0.5175540094930691,16,2150
gyg1a,s4d.mecpM1,-0.061494038889501376,16,2056
cpa6,s4d.mecpM1,-0.018253900193720113,16,37
polr3gla,s4d.mecpM1,0.5584657792820469,16,987
kif15,s4d.mecpM1,-0.2576117356368543,16,1481
capn9,s4d.mecpM1,-0.787707276320796,16,1560
nacad,s4d.mecpM1,0.7575253915678726,16,2034
mmp13a,s4d.mecpM1,0.2459995086817468,16,973
vmp1,s4d.mecpM1,0.3735644676706797,16,818
NA.,s4d.mecpM1,0.7237467857169813,16,NA
aacs,s4d.mecpM1,1.326634269779441,16,228
aurka,s4d.mecpM1,-0.16450607419399324,16,1866
hcfc1b,s4d.mecpM1,-0.16061438211631549,16,258
slc6a6a,s4d.mecpM1,1.0291998638078979,16,2165
polr3f,s4d.mecpM1,1.1993809231477335,16,195
