NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_PLACENTA_DEVELOPMENT	151		Rejected!	
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	88		Rejected!	
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	35		Rejected!	
GOBP_TISSUE_HOMEOSTASIS	275		Rejected!	
GOBP_RETINA_HOMEOSTASIS	80		Rejected!	
GOBP_CELL_KILLING	191		Rejected!	
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	133		Rejected!	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	87		Rejected!	
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	51		Rejected!	
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	41		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	10		Rejected!	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	31		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	22		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	12		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1124	27		
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	206		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	77		Rejected!	
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	115		Rejected!	
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	37		Rejected!	
GOBP_VASCULATURE_DEVELOPMENT	819	18		
GOBP_LYMPH_VESSEL_DEVELOPMENT	31		Rejected!	
GOBP_LYMPHANGIOGENESIS	18		Rejected!	
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	125		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	40		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	56		Rejected!	
GOBP_BLOOD_VESSEL_MATURATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	18		Rejected!	
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	27		Rejected!	
GOBP_STARTLE_RESPONSE	25		Rejected!	
GOBP_SUCKLING_BEHAVIOR	12		Rejected!	
GOBP_BLOOD_VESSEL_REMODELING	48		Rejected!	
GOBP_RESPONSE_TO_AMPHETAMINE	30		Rejected!	
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	14		Rejected!	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	15		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	39		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	17		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	9		Rejected!	
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	6		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	10		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	524		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	61		Rejected!	
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	9		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	34		Rejected!	
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	6		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	13		Rejected!	
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	26		Rejected!	
GOBP_REGULATION_OF_HEART_RATE	107		Rejected!	
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	92		Rejected!	
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	15		Rejected!	
GOBP_BRAIN_RENIN_ANGIOTENSIN_SYSTEM	5		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	8		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	188		Rejected!	
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	94		Rejected!	
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	55		Rejected!	
